date,amount,description,transaction_type,source
2026-01-06,-52.57,REDDY EXPRESS  2138       VASSE,expense,ANZ
2026-01-05,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2026-01-05,-87.04,ALIEXPRESS                NORTH SYDNEY,expense,ANZ
2026-01-05,-89.95,SP SURFBOARDEMPIRE        CASURINA,expense,ANZ
2026-01-05,-74.99,IINET LTD N               SYDNEY,expense,ANZ
2026-01-05,-649.0,SP FOILSPORT              MELBOURNE,expense,ANZ
2026-01-05,200.0,STAND UP SURF SHOP PTY    NORTH FREMANT,income,ANZ
2026-01-05,-14.55,KFC PINJARRA              PINJARRA,expense,ANZ
2026-01-05,-60.0,AMPOL FORREST H 51003F    WEST PINJARRA,expense,ANZ
2026-01-02,-45.68,COLES 0297                DUNSBOROUGH,expense,ANZ
2026-01-02,-22.21,ZLR*ARARAT KEBABS         NEDLANDS,expense,ANZ
2025-12-30,-15.99,SPOTIFY                   SYDNEY,expense,ANZ
2025-12-29,-36.1,SELECTED ENTERPRISES      WEST PERTH,expense,ANZ
2025-12-29,-66.46,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-12-29,-7.67,BAKERSDELIGHT SUBIACO     SUBIACO,expense,ANZ
2025-12-29,-59.99,THE SUBI LIQUOR STOR      SUBIACO,expense,ANZ
2025-12-29,-36.11,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-12-29,-128.0,SPECSAVERS                SYDNEY,expense,ANZ
2025-12-29,-23.0,MCDONALDS KWINANA FN      BALDIVIS,expense,ANZ
2025-12-29,-63.27,BP BALDIVIS NB7375        BALDIVIS,expense,ANZ
2025-12-24,-67.9,AMPOL FORREST H 51003F    WEST PINJARRA,expense,ANZ
2025-12-23,-52.0,HANOZE PARK PTY LTD       PERTH,expense,ANZ
2025-12-22,-87.0,COLES 0297                DUNSBOROUGH,expense,ANZ
2025-12-22,-6.2,ARCHIE & MAX              DALKEITH,expense,ANZ
2025-12-22,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ
2025-12-22,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-12-22,-23.75,APRBS VICTORIA PARK PT    VICTORIA PARK,expense,ANZ
2025-12-22,-13.17,VARSITY NORTHBRIDGE       NORTHBRIDGE,expense,ANZ
2025-12-22,-28.36,VARSITY NORTHBRIDGE       NORTHBRIDGE,expense,ANZ
2025-12-22,-6.11,SQ *LULULALA PTY LTD      NORTHBRIDGE,expense,ANZ
2025-12-19,-7.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-12-19,-18.0,MCDONALDS KWINANA FN      BALDIVIS,expense,ANZ
2025-12-18,-69.21,PETRO FUELS CARBUNUP      CARBUNUP RIVE,expense,ANZ
2025-12-18,-11.65,GFM*GOFUNDME SUPPORT THE  GOFUNDME.COM,expense,ANZ
2025-12-15,-82.04,COLES 0297                DUNSBOROUGH,expense,ANZ
2025-12-15,-15.45,KFC PINJARRA SOUTH        PINJARRA SOUT,expense,ANZ
2025-12-15,-13.39,DD *DOORDASH T4           MELBOURNE,expense,ANZ
2025-12-15,-20.72,DD *DOORDASH HOODBURGE    MELBOURNE,expense,ANZ
2025-12-15,-24.4,DD *DOORDASH QINSLANZH    MELBOURNE,expense,ANZ
2025-12-15,-3.5,TRANSPERTH                PERTH,expense,ANZ
2025-12-15,-19.06,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-12-15,-927.3,HONMAZ AUTOMOTIVE         OSBORNE PARK,expense,ANZ
2025-12-15,-65.58,REDDY EXPRESS 6913        PERTH WEST,expense,ANZ
2025-12-15,-7.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-12-15,-12.18,C AND C CORP WA PTY       INNALOO,expense,ANZ
2025-12-12,-23.9,LS ALFA OMEGA PTY LTD     WEST PERTH,expense,ANZ
2025-12-11,2320.0,PAYMENT - THANKYOU,income,ANZ
2025-12-11,-19.25,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-12-08,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-12-04,-74.99,IINET LTD N               SYDNEY,expense,ANZ
2025-12-02,0.62,DIDIMOBILITY              SYDNEY,income,ANZ
2025-12-01,-26.02,DIDIMOBILITY              SYDNEY,expense,ANZ
2025-12-01,-0.62,DIDIMOBILITY              SYDNEY,expense,ANZ
2025-12-01,-14.71,SINGTEL PREPAID HI!ACC    SINGAPORE  12.00  SGD 0.50 AUD,expense,ANZ
2025-12-01,-24.86,THEMELBOURNEHOTEL-F&B     PERTH,expense,ANZ
2025-12-01,-69.1,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-12-01,-15.99,SPOTIFY                   SYDNEY,expense,ANZ
2025-11-28,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-11-28,-13.18,U & I CAFE                NORTHBRIDGE,expense,ANZ
2025-11-28,-407.4,CROWN PERTH NOBU          BURSWOOD,expense,ANZ
2025-11-27,-14.1,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-11-27,-17.17,NARAYANI (WA) P/L         WEST PERTH,expense,ANZ
2025-11-26,-153.75,TC INTEGRITY PTY LTD      CLAREMONT,expense,ANZ
2025-11-26,-8.0,WILSON PARKING AUSTRALIA  PERTH,expense,ANZ
2025-11-24,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-11-24,-7.98,PRESOTEA NORTH BRIDGE     PERTH,expense,ANZ
2025-11-24,-44.46,S AND T THAI GOURMET CAFE PERTH,expense,ANZ
2025-11-24,-26.2,SQ *PICABAR               PERTH,expense,ANZ
2025-11-24,-22.86,SQ *POKETOPIA             NORTHBRIDGE,expense,ANZ
2025-11-24,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-11-24,-17.65,MCDONALDS KARAWARA        KARAWARA,expense,ANZ
2025-11-24,-161.76,GRABS RESTAURANT PTY L    MOUNT LAWLEY,expense,ANZ
2025-11-24,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ
2025-11-24,-79.58,UME GLOBAL PTY LTD        WEST PERTH,expense,ANZ
2025-11-24,-17.85,MCDONALDS VASSE           VASSE,expense,ANZ
2025-11-21,-58.95,REDDY EXPRESS  2138       VASSE,expense,ANZ
2025-11-19,-18.0,MCD FWY SOUTH             BALDIVIS,expense,ANZ
2025-11-19,-48.15,BP BALDIVIS SB 7374       BALDIVIS,expense,ANZ
2025-11-18,-71.6,COLES 0297                DUNSBOROUGH,expense,ANZ
2025-11-17,-26.39,PLANET ROYALE             NORTHBRIDGE,expense,ANZ
2025-11-17,-62.4,GAMI CHICKEN              PERTH WA,expense,ANZ
