date,amount,description,transaction_type,source
2025-01-06,-300.0,RENT,expense,Bankwest
2025-01-06,-106.29,IGA MOUNT LAWLEY,expense,ANZ
2025-01-06,651.64,TAX REFUND ATO,income,ANZ
2025-01-06,133.47,REFUND,income,ANZ
2025-01-06,2517.78,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-07,2505.98,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-08,2528.42,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-09,-116.27,AMAZON SYDNEY,expense,ANZ
2025-01-09,-9.98,STEAM PURCHASE SYDNEY,expense,ANZ
2025-01-09,2401.5,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-10,-153.69,SYNERGY PERTH,expense,ANZ
2025-01-11,2557.97,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-11,-65.37,CALTEX PERTH,expense,ANZ
2025-01-11,-83.36,WOOLWORTHS FREMANTLE,expense,ANZ
2025-01-12,2476.9,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-12,-34.55,TERRY WHITE CHEMMART CLAREMONT,expense,ANZ
2025-01-13,2847.06,SALARY EMPLOYER PTY LTD,income,ANZ
2025-01-14,2527.41,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-15,-123.27,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-01-15,2437.96,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-16,-158.26,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-01-17,-32.53,HUNGRY JACK'S MIDLAND,expense,ANZ
2025-01-17,2423.85,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-18,-73.35,COLES CLAREMONT,expense,ANZ
2025-01-18,-70.29,UBER SYDNEY,expense,ANZ
2025-01-18,3451.34,SALARY EMPLOYER PTY LTD,income,ANZ
2025-01-19,-62.76,KFC CAROUSEL,expense,ANZ
2025-01-20,2485.39,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-21,148.14,REFUND,income,ANZ
2025-01-23,2472.07,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-23,-86.78,SHELL PERTH,expense,ANZ
2025-01-25,2581.65,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-26,-75.83,SHELL PERTH,expense,ANZ
2025-01-27,-50.96,TRANSPERTH PERTH,expense,ANZ
2025-01-27,-124.8,SYNERGY PERTH,expense,ANZ
2025-01-27,-71.24,HBF HEALTH LIMITED PERTH,expense,ANZ
2025-01-28,-70.76,FARMER JACKS SUBIACO,expense,ANZ
2025-01-28,2531.24,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-29,2434.82,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-30,2513.06,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-01-31,-475.65,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-01-31,-126.53,COLES CLAREMONT,expense,ANZ
2025-02-01,-34.17,THE COFFEE CLUB CAROUSEL,expense,ANZ
2025-02-01,2575.15,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-01,-319.88,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-02-04,-95.91,KMART PERTH,expense,ANZ
2025-02-05,-88.34,KMART CAROUSEL,expense,ANZ
2025-02-05,-74.26,COLES NEDLANDS,expense,ANZ
2025-02-05,2449.0,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-06,130.06,REFUND,income,ANZ
2025-02-06,-138.44,KMART PERTH,expense,ANZ
2025-02-07,-41.54,SUBWAY CITY,expense,ANZ
2025-02-08,2551.81,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-08,-83.59,ALDI MORLEY,expense,ANZ
2025-02-09,2593.88,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-09,-151.12,COLES PERTH,expense,ANZ
2025-02-10,2449.43,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-10,-35.1,GUZMAN Y GOMEZ FREMANTLE,expense,ANZ
2025-02-11,-24.22,NANDO'S JOONDALUP,expense,ANZ
2025-02-11,2540.16,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-12,-62.13,WOOLWORTHS PERTH,expense,ANZ
2025-02-12,2536.32,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-13,-57.03,THE COFFEE CLUB GARDEN CITY,expense,ANZ
2025-02-13,2534.9,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-14,2535.25,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-15,2568.11,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-15,-53.33,ALIEXPRESS NORTH SYDNEY,expense,ANZ
2025-02-17,2471.1,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-17,-35.84,KFC CAROUSEL,expense,ANZ
2025-02-18,-47.33,VARSITY BAR NORTHBRIDGE,expense,ANZ
2025-02-18,-71.8,WOOLWORTHS JOONDALUP,expense,ANZ
2025-02-18,2404.32,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-18,-6.52,NETFLIX SYDNEY,expense,ANZ
2025-02-19,-58.25,FARMER JACKS FLOREAT,expense,ANZ
2025-02-19,2461.99,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-21,-30.67,HUNGRY JACK'S PERTH,expense,ANZ
2025-02-22,147.09,REFUND,income,ANZ
2025-02-22,2410.04,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-23,2519.04,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-25,-98.56,COLES PERTH,expense,ANZ
2025-02-25,2479.69,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-26,-49.17,KFC CAROUSEL,expense,ANZ
2025-02-26,2595.8,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-27,-51.82,DOME CAFE FREMANTLE,expense,ANZ
2025-02-27,2402.38,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-02-28,-104.43,BIG W PERTH,expense,ANZ
2025-02-28,2420.77,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-02,-62.18,COLES NEDLANDS,expense,ANZ
2025-03-02,2498.79,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-03,-42.63,FARMER JACKS SUBIACO,expense,ANZ
2025-03-03,2535.49,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-04,2536.92,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-04,-127.11,COLES COTTESLOE,expense,ANZ
2025-03-05,-36.79,FARMER JACKS WEMBLEY,expense,ANZ
2025-03-05,351.22,TAX REFUND ATO,income,ANZ
2025-03-06,-117.05,TELSTRA PERTH,expense,ANZ
2025-03-06,-81.1,BP FREMANTLE,expense,ANZ
2025-03-07,3183.52,SALARY EMPLOYER PTY LTD,income,ANZ
2025-03-07,-113.1,EBAY SYDNEY,expense,ANZ
2025-03-09,372.54,TAX REFUND ATO,income,ANZ
2025-03-09,2408.43,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-10,-118.26,TARGET INNALOO,expense,ANZ
2025-03-11,2492.45,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-11,-111.87,ALDI MIDLAND,expense,ANZ
2025-03-12,2554.47,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-14,3401.14,SALARY EMPLOYER PTY LTD,income,ANZ
2025-03-17,2521.6,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-18,2594.72,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-19,2517.47,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-20,-62.09,RAC INSURANCE PERTH,expense,ANZ
2025-03-21,2492.39,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-21,-32.62,PRICELINE PHARMACY PERTH,expense,ANZ
2025-03-22,2437.67,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-23,2421.97,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-24,-9.96,APPLE.COM/BILL SYDNEY,expense,ANZ
2025-03-24,2457.97,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-25,2473.79,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-26,208.08,TAX REFUND ATO,income,ANZ
2025-03-27,2492.86,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-27,3424.74,SALARY EMPLOYER PTY LTD,income,ANZ
2025-03-28,2444.17,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-29,2525.36,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-03-29,-89.22,EBAY SYDNEY,expense,ANZ
2025-03-29,-75.11,ALDI PERTH,expense,ANZ
2025-03-30,-85.54,UBER SYDNEY,expense,ANZ
2025-03-31,-87.28,IGA MOUNT LAWLEY,expense,ANZ
2025-03-31,-63.5,IGA MOUNT LAWLEY,expense,ANZ
2025-04-01,-43.16,CHEMIST WAREHOUSE SUBIACO,expense,ANZ
2025-04-01,-10.66,STEAM PURCHASE SYDNEY,expense,ANZ
2025-04-01,2560.57,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-04-04,2532.88,SALARY EMPLOYER PAYROLL,income,Bankwest
