date,amount,description,transaction_type,source
2026-01-06,-89.69,ALDI MORLEY,expense,ANZ
2026-01-04,-19.71,THE COFFEE CLUB PERTH,expense,ANZ
2026-01-04,-75.07,FARMER JACKS SUBIACO,expense,ANZ
2026-01-02,-58.37,DOME CAFE COTTESLOE,expense,ANZ
2026-01-02,24.04,INTEREST PAYMENT,income,ANZ
2025-12-29,-89.31,AMPOL CLAREMONT,expense,ANZ
2025-12-27,-11.83,STEAM PURCHASE SYDNEY,expense,ANZ
2025-12-27,-45.49,MCDONALD'S FREMANTLE,expense,ANZ
2025-12-26,-31.58,MCDONALD'S NORTHBRIDGE,expense,ANZ
2025-12-26,-124.69,AMAZON SYDNEY,expense,ANZ
2025-12-24,-12.38,TERRY WHITE CHEMMART SUBIACO,expense,ANZ
2025-12-24,-122.57,EBAY SYDNEY,expense,ANZ
2025-12-23,-38.35,THE COFFEE CLUB PERTH,expense,ANZ
2025-12-22,-60.87,FARMER JACKS WEMBLEY,expense,ANZ
2025-12-21,-80.37,EBAY SYDNEY,expense,ANZ
2025-12-20,-94.82,IGA LEEDERVILLE,expense,ANZ
2025-12-18,-129.68,EBAY SYDNEY,expense,ANZ
2025-12-18,-77.07,AMPOL WEST PERTH,expense,ANZ
2025-12-12,-94.15,CALTEX PERTH,expense,ANZ
2025-12-11,-83.47,AMPOL CLAREMONT,expense,ANZ
2025-12-10,-84.19,AMPOL CLAREMONT,expense,ANZ
2025-12-07,-33.38,THE COFFEE CLUB PERTH,expense,ANZ
2025-12-07,-28.67,SUBWAY NORTHBRIDGE,expense,ANZ
2025-12-07,-58.25,ALIEXPRESS NORTH SYDNEY,expense,ANZ
2025-12-05,-72.1,ALDI CANNINGTON,expense,ANZ
2025-12-05,-17.34,THE COFFEE CLUB PERTH,expense,ANZ
2025-12-05,-11.29,APPLE.COM/BILL SYDNEY,expense,ANZ
2025-12-04,-109.61,AMAZON SYDNEY,expense,ANZ
2025-12-03,-116.52,WOOLWORTHS PERTH,expense,ANZ
2025-11-30,-58.14,CALTEX PERTH,expense,ANZ
2025-11-28,-34.84,NANDO'S PERTH,expense,ANZ
2025-11-27,-17.22,THE COFFEE CLUB PERTH,expense,ANZ
2025-11-27,3041.58,SALARY EMPLOYER PTY LTD,income,ANZ
2025-11-24,-126.37,EBAY SYDNEY,expense,ANZ
2025-11-24,-91.97,ALDI CANNINGTON,expense,ANZ
2025-11-22,-9.33,MCDONALD'S PERTH,expense,ANZ
2025-11-22,385.42,TAX REFUND ATO,income,ANZ
2025-11-21,-75.46,ALDI PERTH,expense,ANZ
2025-11-21,-51.56,IGA LEEDERVILLE,expense,ANZ
2025-11-21,344.13,TAX REFUND ATO,income,ANZ
2025-11-18,-30.93,SUBWAY PERTH,expense,ANZ
2025-11-17,-57.15,KMART CAROUSEL,expense,ANZ
2025-11-17,-132.6,ALDI MIDLAND,expense,ANZ
2025-11-13,-105.63,ALIEXPRESS NORTH SYDNEY,expense,ANZ
2025-11-12,-76.31,UBER SYDNEY,expense,ANZ
2025-11-12,-43.44,TERRY WHITE CHEMMART CLAREMONT,expense,ANZ
2025-11-10,-49.73,CHEMIST WAREHOUSE SUBIACO,expense,ANZ
2025-11-10,-70.52,SHELL PERTH,expense,ANZ
2025-11-09,26.18,INTEREST PAYMENT,income,ANZ
2025-11-08,-45.24,BP SUBIACO,expense,ANZ
2025-11-04,-15.27,GUZMAN Y GOMEZ PERTH,expense,ANZ
2025-11-03,-13.01,THE COFFEE CLUB GARDEN CITY,expense,ANZ
