date,amount,description,transaction_type,source
2025-12-31,-119.27,AMAZON SYDNEY,expense,Bank_A
2025-12-31,-40.25,DOME CAFE COTTESLOE,expense,Bank_A
2025-12-30,-27.64,HUNGRY JACK'S MIDLAND,expense,Bank_A
2025-12-30,-16.0,READING CINEMAS BELMONT,expense,Bank_A
2025-12-28,-55.23,UBER SYDNEY,expense,Bank_A
2025-12-28,-45.03,AMAZON SYDNEY,expense,Bank_A
2025-12-28,-60.69,IGA SUBIACO,expense,Bank_A
2025-12-27,-156.32,ALIEXPRESS NORTH SYDNEY,expense,Bank_A
2025-12-26,-151.22,ALDI MORLEY,expense,Bank_A
2025-12-24,-7.28,READING CINEMAS PERTH,expense,Bank_A
2025-12-22,-108.08,WOOLWORTHS PERTH,expense,Bank_A
2025-12-21,-25.26,PRICELINE PHARMACY GARDEN CITY,expense,Bank_A
2025-12-21,-129.48,AMAZON SYDNEY,expense,Bank_A
2025-12-21,-32.43,NANDO'S PERTH,expense,Bank_A
2025-12-20,-45.22,TERRY WHITE CHEMMART SUBIACO,expense,Bank_A
2025-12-20,-81.08,UBER SYDNEY,expense,Bank_A
2025-12-19,-164.05,TELSTRA PERTH,expense,Bank_A
2025-12-19,-92.05,TARGET MORLEY,expense,Bank_A
2025-12-18,-57.24,SUBWAY PERTH,expense,Bank_A
2025-12-18,-51.03,SHELL MORLEY,expense,Bank_A
2025-12-16,-106.02,UBER SYDNEY,expense,Bank_A
2025-12-15,-57.62,KMART CAROUSEL,expense,Bank_A
2025-12-14,-53.47,ALDI MIDLAND,expense,Bank_A
2025-12-14,-107.13,WOOLWORTHS PERTH,expense,Bank_A
2025-12-13,-81.4,TARGET INNALOO,expense,Bank_A
2025-12-13,-60.08,CALTEX VICTORIA PARK,expense,Bank_A
2025-12-13,-59.05,BUNNINGS INNALOO,expense,Bank_A
2025-12-11,-12.62,SUBWAY NORTHBRIDGE,expense,Bank_A
2025-12-10,-60.0,COLES PERTH,expense,Bank_A
2025-12-09,-17.17,APPLE.COM/BILL SYDNEY,expense,Bank_A
2025-12-09,-112.42,COLES CLAREMONT,expense,Bank_A
2025-12-08,-54.32,SUBWAY NORTHBRIDGE,expense,Bank_A
2025-12-07,-21.93,HUNGRY JACK'S CANNINGTON,expense,Bank_A
2025-12-06,-44.15,WOOLWORTHS FREMANTLE,expense,Bank_A
2025-12-06,-107.96,HBF HEALTH LIMITED PERTH,expense,Bank_A
2025-12-06,-72.43,TARGET MORLEY,expense,Bank_A
2025-12-05,-65.75,RAC INSURANCE PERTH,expense,Bank_A
2025-12-05,-99.32,WOOLWORTHS JOONDALUP,expense,Bank_A
2025-12-04,-115.54,IGA SUBIACO,expense,Bank_A
2025-12-02,-106.4,WATER CORPORATION PERTH,expense,Bank_A
2025-11-29,-60.8,IGA SUBIACO,expense,Bank_A
2025-11-28,-143.1,SYNERGY PERTH,expense,Bank_A
2025-11-28,-49.44,RAC INSURANCE PERTH,expense,Bank_A
2025-11-27,-107.81,FARMER JACKS FLOREAT,expense,Bank_A
2025-11-24,-46.83,BP FREMANTLE,expense,Bank_A
2025-11-23,-61.34,UBER SYDNEY,expense,Bank_A
2025-11-23,-8.77,STEAM PURCHASE SYDNEY,expense,Bank_A
2025-11-22,-135.25,ALDI MORLEY,expense,Bank_A
2025-11-21,-93.86,ALDI PERTH,expense,Bank_A
2025-11-21,-76.16,COLES PERTH,expense,Bank_A
2025-11-21,-151.55,AMAZON SYDNEY,expense,Bank_A
2025-11-20,-93.11,COLES COTTESLOE,expense,Bank_A
2025-11-19,-78.46,ALDI MORLEY,expense,Bank_A
2025-11-18,-7.68,APPLE.COM/BILL SYDNEY,expense,Bank_A
2025-11-17,-45.11,RAC INSURANCE PERTH,expense,Bank_A
2025-11-17,-86.85,KMART CAROUSEL,expense,Bank_A
2025-11-16,-73.78,SHELL PERTH,expense,Bank_A
2025-11-16,-94.55,BP NEDLANDS,expense,Bank_A
2025-11-13,-7.46,READING CINEMAS PERTH,expense,Bank_A
2025-11-13,-58.6,IGA SUBIACO,expense,Bank_A
2025-11-12,-112.64,BUNNINGS INNALOO,expense,Bank_A
2025-11-11,-65.74,SHELL MORLEY,expense,Bank_A
2025-11-09,-38.23,GUZMAN Y GOMEZ SUBIACO,expense,Bank_A
2025-11-09,-67.21,BP SUBIACO,expense,Bank_A
2025-11-08,-70.3,BP NEDLANDS,expense,Bank_A
2025-11-06,-55.29,CALTEX SOUTH PERTH,expense,Bank_A
2025-11-04,-29.15,MCDONALD'S PERTH,expense,Bank_A
2025-11-02,-97.06,BP FREMANTLE,expense,Bank_A
2025-11-02,-62.2,TRANSPERTH PERTH,expense,Bank_A
2025-11-02,-162.37,TELSTRA PERTH,expense,Bank_A
2025-11-01,-54.66,BIG W PERTH,expense,Bank_A
2025-10-31,-134.69,ALIEXPRESS NORTH SYDNEY,expense,Bank_A
2025-10-31,-39.41,PRICELINE PHARMACY PERTH,expense,Bank_A
2025-10-28,-78.64,AMPOL PERTH,expense,Bank_A
2025-10-27,-93.29,SHELL MORLEY,expense,Bank_A
2025-10-26,-136.83,WATER CORPORATION PERTH,expense,Bank_A
2025-10-25,-102.32,COLES PERTH,expense,Bank_A
2025-10-23,-10.7,READING CINEMAS BELMONT,expense,Bank_A
2025-10-21,-76.4,AMAZON SYDNEY,expense,Bank_A
2025-10-20,-106.02,COLES PERTH,expense,Bank_A
2025-10-19,-121.62,TARGET PERTH,expense,Bank_A
2025-10-19,-39.84,AMPOL WEST PERTH,expense,Bank_A
2025-10-19,-27.79,PRICELINE PHARMACY GARDEN CITY,expense,Bank_A
2025-10-18,-123.51,COLES COTTESLOE,expense,Bank_A
2025-10-17,-79.83,UBER SYDNEY,expense,Bank_A
2025-10-16,-69.88,HBF HEALTH LIMITED PERTH,expense,Bank_A
2025-10-15,-107.31,IGA SUBIACO,expense,Bank_A
2025-10-15,-87.8,CALTEX VICTORIA PARK,expense,Bank_A
2025-10-14,-14.79,DOME CAFE COTTESLOE,expense,Bank_A
2025-10-13,-6.58,APPLE.COM/BILL SYDNEY,expense,Bank_A
2025-10-12,-36.19,KFC CAROUSEL,expense,Bank_A
2025-10-12,-82.02,AMPOL WEST PERTH,expense,Bank_A
2025-10-11,-93.35,UBER SYDNEY,expense,Bank_A
2025-10-11,-46.09,IGA SUBIACO,expense,Bank_A
2025-10-10,-55.38,TRANSPERTH PERTH,expense,Bank_A
2025-10-09,-44.46,PRICELINE PHARMACY GARDEN CITY,expense,Bank_A
2025-10-08,-16.61,SUBWAY NORTHBRIDGE,expense,Bank_A
2025-10-08,-90.47,COLES PERTH,expense,Bank_A
2025-10-06,-25.28,SUBWAY NORTHBRIDGE,expense,Bank_A
2025-10-02,-37.77,ALDI CANNINGTON,expense,Bank_A
2025-10-02,-96.82,IGA MOUNT LAWLEY,expense,Bank_A
2025-10-01,-73.83,TRANSPERTH PERTH,expense,Bank_A
2025-09-30,-108.12,WATER CORPORATION PERTH,expense,Bank_A
2025-09-30,-51.19,IGA SUBIACO,expense,Bank_A
2025-09-29,-96.09,FARMER JACKS FLOREAT,expense,Bank_A
2025-09-28,-159.59,WATER CORPORATION PERTH,expense,Bank_A
2025-09-28,-68.63,ALDI PERTH,expense,Bank_A
2025-09-25,-14.68,SPOTIFY SYDNEY,expense,Bank_A
2025-09-24,-235.14,IINET LTD SYDNEY,expense,Bank_A
2025-09-23,-23.48,MCDONALD'S NORTHBRIDGE,expense,Bank_A
2025-09-22,-141.8,SYNERGY PERTH,expense,Bank_A
2025-09-20,-89.85,IGA LEEDERVILLE,expense,Bank_A
2025-09-20,-47.71,ALDI MORLEY,expense,Bank_A
2025-09-18,-23.34,DOME CAFE COTTESLOE,expense,Bank_A
2025-09-18,-45.41,KFC INNALOO,expense,Bank_A
2025-09-17,-74.5,BIG W CANNINGTON,expense,Bank_A
2025-09-15,-34.85,DOME CAFE FREMANTLE,expense,Bank_A
2025-09-14,-57.36,UBER SYDNEY,expense,Bank_A
2025-09-14,-130.97,BIG W CANNINGTON,expense,Bank_A
2025-09-13,-61.37,WOOLWORTHS PERTH,expense,Bank_A
2025-09-13,-40.18,FARMER JACKS SUBIACO,expense,Bank_A
2025-09-12,-147.07,FARMER JACKS FLOREAT,expense,Bank_A
2025-09-09,-51.64,SUBWAY CITY,expense,Bank_A
2025-09-08,-50.62,MCDONALD'S FREMANTLE,expense,Bank_A
2025-09-07,-25.78,TERRY WHITE CHEMMART CLAREMONT,expense,Bank_A
2025-09-06,-29.5,THE COFFEE CLUB GARDEN CITY,expense,Bank_A
2025-09-02,-90.6,BP NEDLANDS,expense,Bank_A
2025-09-02,-70.86,VARSITY BAR FREMANTLE,expense,Bank_A
