date,amount,description,transaction_type,source
2025-12-29,-350.0,RENT PAYMENT,expense,Bank_B
2025-12-22,-350.0,RENT PAYMENT,expense,Bank_B
2025-12-20,-243.55,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-12-18,2865.18,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-12-15,-350.0,RENT PAYMENT,expense,Bank_B
2025-12-15,-106.0,SYNERGY ELECTRICITY,expense,Bank_B
2025-12-08,-350.0,RENT PAYMENT,expense,Bank_B
2025-12-05,-422.79,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-12-04,2846.51,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-12-01,-350.0,RENT PAYMENT,expense,Bank_B
2025-11-24,-350.0,RENT PAYMENT,expense,Bank_B
2025-11-20,2951.71,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-11-20,-243.6,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-11-17,-350.0,RENT PAYMENT,expense,Bank_B
2025-11-15,-191.07,SYNERGY ELECTRICITY,expense,Bank_B
2025-11-10,-350.0,RENT PAYMENT,expense,Bank_B
2025-11-06,2762.8,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-11-03,-350.0,RENT PAYMENT,expense,Bank_B
2025-10-27,-350.0,RENT PAYMENT,expense,Bank_B
2025-10-23,2981.36,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-10-20,-350.0,RENT PAYMENT,expense,Bank_B
2025-10-20,-539.17,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-10-15,-144.53,SYNERGY ELECTRICITY,expense,Bank_B
2025-10-13,-350.0,RENT PAYMENT,expense,Bank_B
2025-10-09,2857.15,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-10-06,-350.0,RENT PAYMENT,expense,Bank_B
2025-10-05,-245.76,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-09-29,-350.0,RENT PAYMENT,expense,Bank_B
2025-09-25,2910.98,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-09-22,-350.0,RENT PAYMENT,expense,Bank_B
2025-09-15,-350.0,RENT PAYMENT,expense,Bank_B
2025-09-15,-174.65,SYNERGY ELECTRICITY,expense,Bank_B
2025-09-11,2867.39,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-09-08,-350.0,RENT PAYMENT,expense,Bank_B
2025-09-05,-503.9,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-09-01,-350.0,RENT PAYMENT,expense,Bank_B
2025-08-28,2784.87,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-08-25,-350.0,RENT PAYMENT,expense,Bank_B
2025-08-20,-465.44,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-08-18,-350.0,RENT PAYMENT,expense,Bank_B
2025-08-15,-149.25,SYNERGY ELECTRICITY,expense,Bank_B
2025-08-14,2810.19,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-08-11,-350.0,RENT PAYMENT,expense,Bank_B
2025-08-04,-350.0,RENT PAYMENT,expense,Bank_B
2025-07-31,2817.35,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-07-28,-350.0,RENT PAYMENT,expense,Bank_B
2025-07-21,-350.0,RENT PAYMENT,expense,Bank_B
2025-07-20,-289.53,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-07-17,2812.0,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-07-15,-84.61,SYNERGY ELECTRICITY,expense,Bank_B
2025-07-14,-350.0,RENT PAYMENT,expense,Bank_B
2025-07-07,-350.0,RENT PAYMENT,expense,Bank_B
2025-07-05,-590.55,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-07-03,2810.87,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-06-30,-350.0,RENT PAYMENT,expense,Bank_B
2025-06-23,-350.0,RENT PAYMENT,expense,Bank_B
2025-06-20,-472.65,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-06-19,2755.35,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-06-16,-350.0,RENT PAYMENT,expense,Bank_B
2025-06-15,-138.7,SYNERGY ELECTRICITY,expense,Bank_B
2025-06-09,-350.0,RENT PAYMENT,expense,Bank_B
2025-06-05,3022.7,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-06-05,-356.46,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-06-02,-350.0,RENT PAYMENT,expense,Bank_B
2025-05-26,-350.0,RENT PAYMENT,expense,Bank_B
2025-05-22,2891.29,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-05-19,-350.0,RENT PAYMENT,expense,Bank_B
2025-05-15,-170.65,SYNERGY ELECTRICITY,expense,Bank_B
2025-05-12,-350.0,RENT PAYMENT,expense,Bank_B
2025-05-08,2950.44,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-05-05,-350.0,RENT PAYMENT,expense,Bank_B
2025-05-05,-270.46,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-04-28,-350.0,RENT PAYMENT,expense,Bank_B
2025-04-24,2877.17,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-04-21,-350.0,RENT PAYMENT,expense,Bank_B
2025-04-20,-580.24,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-04-15,-193.36,SYNERGY ELECTRICITY,expense,Bank_B
2025-04-14,-350.0,RENT PAYMENT,expense,Bank_B
2025-04-10,2741.5,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-04-07,-350.0,RENT PAYMENT,expense,Bank_B
2025-03-31,-350.0,RENT PAYMENT,expense,Bank_B
2025-03-27,3024.38,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-03-24,-350.0,RENT PAYMENT,expense,Bank_B
2025-03-20,-438.65,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-03-17,-350.0,RENT PAYMENT,expense,Bank_B
2025-03-15,-136.89,SYNERGY ELECTRICITY,expense,Bank_B
2025-03-13,2809.75,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-03-10,-350.0,RENT PAYMENT,expense,Bank_B
2025-03-03,-350.0,RENT PAYMENT,expense,Bank_B
2025-02-27,2948.61,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-02-24,-350.0,RENT PAYMENT,expense,Bank_B
2025-02-20,-584.08,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-02-17,-350.0,RENT PAYMENT,expense,Bank_B
2025-02-15,-103.36,SYNERGY ELECTRICITY,expense,Bank_B
2025-02-13,3008.63,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-02-10,-350.0,RENT PAYMENT,expense,Bank_B
2025-02-05,-363.12,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-02-03,-350.0,RENT PAYMENT,expense,Bank_B
2025-01-30,2754.62,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-01-27,-350.0,RENT PAYMENT,expense,Bank_B
2025-01-20,-350.0,RENT PAYMENT,expense,Bank_B
2025-01-20,-449.42,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-01-16,2867.31,SALARY EMPLOYER PAYROLL,income,Bank_B
2025-01-15,-124.1,SYNERGY ELECTRICITY,expense,Bank_B
2025-01-13,-350.0,RENT PAYMENT,expense,Bank_B
2025-01-06,-350.0,RENT PAYMENT,expense,Bank_B
2025-01-05,-520.67,IB TRANSFER TO SAVINGS,expense,Bank_B
2025-01-02,2858.72,SALARY EMPLOYER PAYROLL,income,Bank_B
