date,amount,description,transaction_type,source
2026-01-06,2441.41,SALARY EMPLOYER PAYROLL,income,Bankwest
2026-01-05,2547.51,SALARY EMPLOYER PAYROLL,income,Bankwest
2026-01-03,2557.65,SALARY EMPLOYER PAYROLL,income,Bankwest
2026-01-03,-368.47,IB TRANSFER TO SAVINGS,expense,Bankwest
2026-01-01,2581.02,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-31,2545.26,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-30,2538.84,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-29,2566.02,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-27,2429.09,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-26,2590.12,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-25,2575.17,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-24,2494.82,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-23,2463.93,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-22,2400.92,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-21,2406.25,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-18,2475.76,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-17,2519.51,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-15,2419.47,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-14,2498.0,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-12,2476.84,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-10,-381.09,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-12-05,2568.52,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-04,2403.52,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-03,2543.2,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-02,2471.43,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-01,2476.38,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-12-01,-300.0,RENT,expense,Bankwest
2025-11-28,2567.95,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-26,2539.91,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-24,2541.22,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-23,2498.63,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-21,2488.25,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-19,2495.85,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-17,2407.27,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-16,2405.25,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-15,2508.34,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-14,2562.28,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-13,2568.06,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-12,2572.99,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-10,2400.41,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-09,2572.8,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-08,2509.15,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-07,2563.05,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-11-03,-300.0,RENT,expense,Bankwest
2025-11-02,2546.75,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-31,2488.11,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-30,2455.91,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-29,2437.39,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-28,2408.66,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-26,2408.56,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-23,2562.24,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-22,2536.43,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-20,2407.39,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-18,2477.02,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-17,2466.35,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-12,2451.89,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-11,-371.2,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-10-10,2424.75,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-09,2569.08,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-05,2525.24,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-04,2499.09,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-10-02,2495.87,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-30,2594.07,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-30,-318.14,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-09-29,2430.48,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-19,2520.64,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-18,2415.4,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-17,2508.34,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-12,2594.61,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-08,2527.89,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-06,2579.24,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-05,2460.02,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-03,2491.32,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-02,2578.26,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-09-01,2539.73,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-28,2562.14,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-24,2444.18,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-23,2464.97,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-20,2591.09,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-19,2478.51,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-18,-300.0,RENT,expense,Bankwest
2025-08-17,2532.84,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-14,2419.92,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-11,2477.05,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-10,2543.19,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-08-06,-461.53,IB TRANSFER TO SAVINGS,expense,Bankwest
2025-08-05,2511.97,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-31,2410.14,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-28,2479.98,SALARY EMPLOYER PAYROLL,income,Bankwest
2025-07-28,-300.0,RENT,expense,Bankwest
2025-07-23,2460.35,SALARY EMPLOYER PAYROLL,income,Bankwest
