BSB Number,Account Number,Transaction Date,Narration,Cheque Number,Debit,Credit,Balance,Transaction Type
000-000,9999999,29/12/2025,RENT PAYMENT,,-350.0,,56784.87,WDL
000-000,9999999,22/12/2025,RENT PAYMENT,,-350.0,,57134.87,WDL
000-000,9999999,20/12/2025,IB TRANSFER TO SAVINGS,,-243.55,,57484.87,TFD
000-000,9999999,18/12/2025,SALARY EMPLOYER PAYROLL,,,2865.18,57728.42,PAY
000-000,9999999,15/12/2025,RENT PAYMENT,,-350.0,,54969.24,WDL
000-000,9999999,15/12/2025,SYNERGY ELECTRICITY,,-106.0,,54863.24,WDL
000-000,9999999,08/12/2025,RENT PAYMENT,,-350.0,,55319.24,WDL
000-000,9999999,05/12/2025,IB TRANSFER TO SAVINGS,,-422.79,,55669.24,TFD
000-000,9999999,04/12/2025,SALARY EMPLOYER PAYROLL,,,2846.51,56092.03,PAY
000-000,9999999,01/12/2025,RENT PAYMENT,,-350.0,,53245.52,WDL
000-000,9999999,24/11/2025,RENT PAYMENT,,-350.0,,53595.52,WDL
000-000,9999999,20/11/2025,SALARY EMPLOYER PAYROLL,,,2951.71,54189.12,PAY
000-000,9999999,20/11/2025,IB TRANSFER TO SAVINGS,,-243.6,,53945.52,TFD
000-000,9999999,17/11/2025,RENT PAYMENT,,-350.0,,51237.41,WDL
000-000,9999999,15/11/2025,SYNERGY ELECTRICITY,,-191.07,,51587.41,WDL
000-000,9999999,10/11/2025,RENT PAYMENT,,-350.0,,51778.48,WDL
000-000,9999999,06/11/2025,SALARY EMPLOYER PAYROLL,,,2762.8,52128.48,PAY
000-000,9999999,03/11/2025,RENT PAYMENT,,-350.0,,49365.68,WDL
000-000,9999999,27/10/2025,RENT PAYMENT,,-350.0,,49715.68,WDL
000-000,9999999,23/10/2025,SALARY EMPLOYER PAYROLL,,,2981.36,50065.68,PAY
000-000,9999999,20/10/2025,RENT PAYMENT,,-350.0,,47623.49,WDL
000-000,9999999,20/10/2025,IB TRANSFER TO SAVINGS,,-539.17,,47084.32,TFD
000-000,9999999,15/10/2025,SYNERGY ELECTRICITY,,-144.53,,47973.49,WDL
000-000,9999999,13/10/2025,RENT PAYMENT,,-350.0,,48118.02,WDL
000-000,9999999,09/10/2025,SALARY EMPLOYER PAYROLL,,,2857.15,48468.02,PAY
000-000,9999999,06/10/2025,RENT PAYMENT,,-350.0,,45610.87,WDL
000-000,9999999,05/10/2025,IB TRANSFER TO SAVINGS,,-245.76,,45960.87,TFD
000-000,9999999,29/09/2025,RENT PAYMENT,,-350.0,,46206.63,WDL
000-000,9999999,25/09/2025,SALARY EMPLOYER PAYROLL,,,2910.98,46556.63,PAY
000-000,9999999,22/09/2025,RENT PAYMENT,,-350.0,,43645.65,WDL
000-000,9999999,15/09/2025,RENT PAYMENT,,-350.0,,44170.3,WDL
000-000,9999999,15/09/2025,SYNERGY ELECTRICITY,,-174.65,,43995.65,WDL
000-000,9999999,11/09/2025,SALARY EMPLOYER PAYROLL,,,2867.39,44520.3,PAY
000-000,9999999,08/09/2025,RENT PAYMENT,,-350.0,,41652.91,WDL
000-000,9999999,05/09/2025,IB TRANSFER TO SAVINGS,,-503.9,,42002.91,TFD
000-000,9999999,01/09/2025,RENT PAYMENT,,-350.0,,42506.81,WDL
000-000,9999999,28/08/2025,SALARY EMPLOYER PAYROLL,,,2784.87,42856.81,PAY
000-000,9999999,25/08/2025,RENT PAYMENT,,-350.0,,40071.94,WDL
000-000,9999999,20/08/2025,IB TRANSFER TO SAVINGS,,-465.44,,40421.94,TFD
000-000,9999999,18/08/2025,RENT PAYMENT,,-350.0,,40887.38,WDL
000-000,9999999,15/08/2025,SYNERGY ELECTRICITY,,-149.25,,41237.38,WDL
000-000,9999999,14/08/2025,SALARY EMPLOYER PAYROLL,,,2810.19,41386.63,PAY
000-000,9999999,11/08/2025,RENT PAYMENT,,-350.0,,38576.44,WDL
000-000,9999999,04/08/2025,RENT PAYMENT,,-350.0,,38926.44,WDL
000-000,9999999,31/07/2025,SALARY EMPLOYER PAYROLL,,,2817.35,39276.44,PAY
000-000,9999999,28/07/2025,RENT PAYMENT,,-350.0,,36459.09,WDL
000-000,9999999,21/07/2025,RENT PAYMENT,,-350.0,,36809.09,WDL
000-000,9999999,20/07/2025,IB TRANSFER TO SAVINGS,,-289.53,,37159.09,TFD
000-000,9999999,17/07/2025,SALARY EMPLOYER PAYROLL,,,2812.0,37448.62,PAY
000-000,9999999,15/07/2025,SYNERGY ELECTRICITY,,-84.61,,34636.62,WDL
000-000,9999999,14/07/2025,RENT PAYMENT,,-350.0,,34721.23,WDL
000-000,9999999,07/07/2025,RENT PAYMENT,,-350.0,,35071.23,WDL
000-000,9999999,05/07/2025,IB TRANSFER TO SAVINGS,,-590.55,,35421.23,TFD
000-000,9999999,03/07/2025,SALARY EMPLOYER PAYROLL,,,2810.87,36011.78,PAY
000-000,9999999,30/06/2025,RENT PAYMENT,,-350.0,,33200.91,WDL
000-000,9999999,23/06/2025,RENT PAYMENT,,-350.0,,33550.91,WDL
000-000,9999999,20/06/2025,IB TRANSFER TO SAVINGS,,-472.65,,33900.91,TFD
000-000,9999999,19/06/2025,SALARY EMPLOYER PAYROLL,,,2755.35,34373.56,PAY
000-000,9999999,16/06/2025,RENT PAYMENT,,-350.0,,31618.21,WDL
000-000,9999999,15/06/2025,SYNERGY ELECTRICITY,,-138.7,,31968.21,WDL
000-000,9999999,09/06/2025,RENT PAYMENT,,-350.0,,32106.91,WDL
000-000,9999999,05/06/2025,SALARY EMPLOYER PAYROLL,,,3022.7,32813.37,PAY
000-000,9999999,05/06/2025,IB TRANSFER TO SAVINGS,,-356.46,,32456.91,TFD
000-000,9999999,02/06/2025,RENT PAYMENT,,-350.0,,29790.67,WDL
000-000,9999999,26/05/2025,RENT PAYMENT,,-350.0,,30140.67,WDL
000-000,9999999,22/05/2025,SALARY EMPLOYER PAYROLL,,,2891.29,30490.67,PAY
000-000,9999999,19/05/2025,RENT PAYMENT,,-350.0,,27599.38,WDL
000-000,9999999,15/05/2025,SYNERGY ELECTRICITY,,-170.65,,27949.38,WDL
000-000,9999999,12/05/2025,RENT PAYMENT,,-350.0,,28120.03,WDL
000-000,9999999,08/05/2025,SALARY EMPLOYER PAYROLL,,,2950.44,28470.03,PAY
000-000,9999999,05/05/2025,RENT PAYMENT,,-350.0,,25790.05,WDL
000-000,9999999,05/05/2025,IB TRANSFER TO SAVINGS,,-270.46,,25519.59,TFD
000-000,9999999,28/04/2025,RENT PAYMENT,,-350.0,,26140.05,WDL
000-000,9999999,24/04/2025,SALARY EMPLOYER PAYROLL,,,2877.17,26490.05,PAY
000-000,9999999,21/04/2025,RENT PAYMENT,,-350.0,,23612.88,WDL
000-000,9999999,20/04/2025,IB TRANSFER TO SAVINGS,,-580.24,,23962.88,TFD
000-000,9999999,15/04/2025,SYNERGY ELECTRICITY,,-193.36,,24543.12,WDL
000-000,9999999,14/04/2025,RENT PAYMENT,,-350.0,,24736.48,WDL
000-000,9999999,10/04/2025,SALARY EMPLOYER PAYROLL,,,2741.5,25086.48,PAY
000-000,9999999,07/04/2025,RENT PAYMENT,,-350.0,,22344.98,WDL
000-000,9999999,31/03/2025,RENT PAYMENT,,-350.0,,22694.98,WDL
000-000,9999999,27/03/2025,SALARY EMPLOYER PAYROLL,,,3024.38,23044.98,PAY
000-000,9999999,24/03/2025,RENT PAYMENT,,-350.0,,20020.6,WDL
000-000,9999999,20/03/2025,IB TRANSFER TO SAVINGS,,-438.65,,20370.6,TFD
000-000,9999999,17/03/2025,RENT PAYMENT,,-350.0,,20809.25,WDL
000-000,9999999,15/03/2025,SYNERGY ELECTRICITY,,-136.89,,21159.25,WDL
000-000,9999999,13/03/2025,SALARY EMPLOYER PAYROLL,,,2809.75,21296.14,PAY
000-000,9999999,10/03/2025,RENT PAYMENT,,-350.0,,18486.39,WDL
000-000,9999999,03/03/2025,RENT PAYMENT,,-350.0,,18836.39,WDL
000-000,9999999,27/02/2025,SALARY EMPLOYER PAYROLL,,,2948.61,19186.39,PAY
000-000,9999999,24/02/2025,RENT PAYMENT,,-350.0,,16237.78,WDL
000-000,9999999,20/02/2025,IB TRANSFER TO SAVINGS,,-584.08,,16587.78,TFD
000-000,9999999,17/02/2025,RENT PAYMENT,,-350.0,,17171.86,WDL
000-000,9999999,15/02/2025,SYNERGY ELECTRICITY,,-103.36,,17521.86,WDL
000-000,9999999,13/02/2025,SALARY EMPLOYER PAYROLL,,,3008.63,17625.22,PAY
000-000,9999999,10/02/2025,RENT PAYMENT,,-350.0,,14616.59,WDL
000-000,9999999,05/02/2025,IB TRANSFER TO SAVINGS,,-363.12,,14966.59,TFD
000-000,9999999,03/02/2025,RENT PAYMENT,,-350.0,,15329.71,WDL
000-000,9999999,30/01/2025,SALARY EMPLOYER PAYROLL,,,2754.62,15679.71,PAY
000-000,9999999,27/01/2025,RENT PAYMENT,,-350.0,,12925.09,WDL
000-000,9999999,20/01/2025,RENT PAYMENT,,-350.0,,13724.51,WDL
000-000,9999999,20/01/2025,IB TRANSFER TO SAVINGS,,-449.42,,13275.09,TFD
000-000,9999999,16/01/2025,SALARY EMPLOYER PAYROLL,,,2867.31,14074.51,PAY
000-000,9999999,15/01/2025,SYNERGY ELECTRICITY,,-124.1,,11207.2,WDL
000-000,9999999,13/01/2025,RENT PAYMENT,,-350.0,,11331.3,WDL
000-000,9999999,06/01/2025,RENT PAYMENT,,-350.0,,11681.3,WDL
000-000,9999999,05/01/2025,IB TRANSFER TO SAVINGS,,-520.67,,12031.3,TFD
000-000,9999999,02/01/2025,SALARY EMPLOYER PAYROLL,,,2858.72,12551.97,PAY
