BSB Number,Account Number,Transaction Date,Narration,Cheque Number,Debit,Credit,Balance,Transaction Type
000-000,9999999,06/01/2026,SALARY EMPLOYER PAYROLL,,,2441.41,477197.52,PAY
000-000,9999999,05/01/2026,SALARY EMPLOYER PAYROLL,,,2547.51,474756.11,PAY
000-000,9999999,03/01/2026,SALARY EMPLOYER PAYROLL,,,2557.65,472577.07,PAY
000-000,9999999,03/01/2026,IB TRANSFER TO SAVINGS,,-368.47,,472208.6,TFD
000-000,9999999,01/01/2026,SALARY EMPLOYER PAYROLL,,,2581.02,470019.42,PAY
000-000,9999999,31/12/2025,SALARY EMPLOYER PAYROLL,,,2545.26,467438.4,PAY
000-000,9999999,30/12/2025,SALARY EMPLOYER PAYROLL,,,2538.84,464893.14,PAY
000-000,9999999,29/12/2025,SALARY EMPLOYER PAYROLL,,,2566.02,462354.3,PAY
000-000,9999999,27/12/2025,SALARY EMPLOYER PAYROLL,,,2429.09,459788.28,PAY
000-000,9999999,26/12/2025,SALARY EMPLOYER PAYROLL,,,2590.12,457359.19,PAY
000-000,9999999,25/12/2025,SALARY EMPLOYER PAYROLL,,,2575.17,454769.07,PAY
000-000,9999999,24/12/2025,SALARY EMPLOYER PAYROLL,,,2494.82,452193.9,PAY
000-000,9999999,23/12/2025,SALARY EMPLOYER PAYROLL,,,2463.93,449699.08,PAY
000-000,9999999,22/12/2025,SALARY EMPLOYER PAYROLL,,,2400.92,447235.15,PAY
000-000,9999999,21/12/2025,SALARY EMPLOYER PAYROLL,,,2406.25,444834.23,PAY
000-000,9999999,18/12/2025,SALARY EMPLOYER PAYROLL,,,2475.76,442427.98,PAY
000-000,9999999,17/12/2025,SALARY EMPLOYER PAYROLL,,,2519.51,439952.22,PAY
000-000,9999999,15/12/2025,SALARY EMPLOYER PAYROLL,,,2419.47,437432.71,PAY
000-000,9999999,14/12/2025,SALARY EMPLOYER PAYROLL,,,2498.0,435013.24,PAY
